year,number_of_students
2005,80848.0
2006,90984.0
2007,110842.0
2008,132724.0
2009,152169.0
2010,140065.0
2011,124893.0
2012,117489.0
2013,121912.0
2014,138628.0
2015,154835.0
2016,175164.0
2017,200223.0
2018,226633.0
2019,250109.0
2020,225552.0
2021,182922.0
2022,186991.0
2023,234609.0
2024,215461.0
2025,197580.80964284512
2026,194063.7108925783
2027,187625.72604269316
2028,181303.10180481552
2029,174412.74034651768
2030,166908.43677272878
2031,160794.19990751363
2032,157880.7635286955
2033,155813.7136175305
2034,152657.67265894063
2035,151176.33280873924
2036,152003.78565978538
2037,152798.84424197354
2038,153505.9114455721
2039,154360.54964605474
2040,155183.92317325273
2041,154260.800284509
2042,152745.46189499184
2043,151439.30736363618
2044,150493.38509857422
2045,149522.0760771754
